,price,minimum_nights
506,95,30
507,199,2
508,120,2
509,199,15
510,125,2
511,70,2
512,75,4
513,100,30
514,99,2
515,250,1
516,350,6
517,170,3
518,165,1
519,99,1
520,255,4
521,169,3
522,99,4
523,169,7
524,160,3
525,215,3
526,130,3
527,110,3
528,150,28
529,65,30
530,75,2
531,149,6
532,89,6
533,50,1
534,43,1
535,42,1
536,85,1
537,139,3
538,105,1
539,265,5
540,149,1
541,68,2
542,99,3
543,75,3
544,100,2
545,90,1
546,160,30
547,190,4
548,67,4
549,190,1
550,248,2
551,100,6
552,95,3
553,150,1
554,145,3
555,41,2
556,120,4
557,50,3
558,157,2
559,195,14
560,70,4
561,185,3
562,145,3
563,50,28
564,185,3
565,250,1
566,80,90
567,230,2
568,100,7
569,40,1
570,200,30
571,80,2
572,79,3
573,95,30
574,300,2
575,100,30
576,80,7
577,110,1
578,172,4
579,199,1
580,199,1
581,100,1
582,55,4
583,75,3
584,146,3
585,250,2
586,116,29
587,150,3
588,120,2
589,199,4
590,150,5
591,69,1
592,300,55
593,230,4
594,125,4
595,79,3
596,130,3
597,239,1
598,75,6
599,220,3
600,80,3
601,288,2
602,135,4
603,225,3
604,110,30
605,100,7
606,130,2
607,89,1
608,200,5
609,80,2
610,50,5
611,135,28
612,90,1
613,270,5
614,110,3
615,145,1
616,179,30
617,55,1
618,110,2
619,325,5
620,75,30
621,300,1
622,130,30
623,190,30
624,200,3
625,180,2
626,350,5
627,160,4
628,195,30
629,241,30
630,300,7
631,75,28
632,100,5
633,399,1
634,85,5
635,80,21
636,55,1
637,438,1
638,110,6
639,200,2
640,279,1
641,137,1
642,280,3
643,199,30
644,71,4
645,42,2
646,180,2
647,226,5
648,85,3
649,135,1
650,79,4
651,154,1
652,199,3
653,700,3
654,246,4
655,125,60
656,100,1
657,295,5
658,150,3
659,119,1
660,125,1
661,400,5
662,850,3
663,129,2
664,140,1
665,115,4
666,200,3
667,96,120
668,199,3
669,199,3
670,199,3
671,69,1
672,185,2
673,81,2
674,199,3
675,199,3
676,199,3
677,199,3
678,199,3
679,349,3
680,249,3
681,299,3
682,179,3
683,54,5
684,599,3
685,110,1
686,220,2
687,89,30
688,170,2
689,495,7
690,80,10
691,760,2
692,98,4
693,125,30
694,48,90
695,64,3
696,154,3
697,139,3
698,75,4
699,325,4
700,195,365
701,58,1
702,250,2
703,50,7
704,125,2
705,70,7
706,189,2
707,130,3
708,145,7
709,101,7
710,95,5
711,375,7
712,153,31
713,92,4
714,80,5
715,300,4
716,145,3
717,88,2
718,155,1
719,185,180
720,73,2
721,225,2
722,85,7
723,99,2
724,48,90
725,200,5
726,485,7
727,310,5
728,110,4
729,109,30
730,167,30
731,147,15
732,220,4
733,195,4
734,199,28
735,65,30
736,55,1
737,50,2
738,60,2
739,99,3
740,130,2
741,290,30
742,350,3
743,50,3
744,96,2
745,45,15
746,85,2
747,34,10
748,250,3
749,190,1
750,75,2
751,93,4
752,60,5
753,65,5
754,125,365
755,300,3
756,150,2
757,56,122
758,299,3
759,60,4
760,88,5
761,60,2
762,1300,5
763,200,6
764,99,2
765,110,3
766,135,5
767,110,15
768,165,3
769,127,180
770,402,3
771,85,6
772,75,7
773,139,30
774,70,6
775,50,3
776,30,5
777,250,30
778,64,1
779,300,3
780,800,4
781,100,3
782,250,5
783,200,27
784,140,5
785,130,1
786,90,30
787,90,3
788,97,3
789,91,6
790,125,3
791,75,7
792,180,7
793,300,7
794,100,19
795,175,3
796,65,4
797,240,5
798,300,6
799,385,1
800,47,15
801,110,3
802,75,2
803,100,3
804,165,2
805,300,2
806,140,3
807,120,6
808,175,3
809,275,31
810,179,8
811,189,2
812,219,2
813,450,20
814,249,5
815,65,2
816,250,4
817,139,30
818,209,7
819,120,5
820,70,5
821,90,3
822,199,3
823,50,60
824,100,5
825,110,1
826,157,4
827,199,3
828,192,3
829,199,3
830,150,1
831,199,3
832,199,3
833,199,3
834,105,3
835,135,28
836,199,3
837,125,3
838,60,7
839,85,1
840,300,3
841,75,2
842,55,1
843,44,5
844,55,5
845,30,3
846,35,3
847,70,1
848,130,14
849,52,2
850,75,3
851,190,3
852,250,5
853,100,1
854,130,4
855,140,2
856,75,2
857,150,7
858,90,3
859,295,1
860,150,2
861,180,3
862,135,3
863,65,5
864,99,3
865,149,14
866,59,1
867,75,3
868,75,3
869,75,3
870,109,30
871,225,4
872,86,3
873,52,2
874,100,2
875,99,30
876,89,3
877,135,2
878,199,14
879,89,3
880,110,3
881,120,2
882,59,3
883,49,4
884,79,14
885,135,30
886,185,2
887,225,4
888,245,5
889,115,3
890,325,2
891,95,2
892,120,2
893,499,30
894,75,2
895,109,1
896,160,3
897,219,4
898,159,2
899,180,3
900,150,5
901,106,3
902,299,10
903,179,3
904,165,3
905,500,4
906,250,15
907,87,7
908,79,4
909,75,2
910,200,30
911,80,1
912,115,3
913,115,3
914,120,3
915,125,3
916,387,1
917,95,6
918,99,2
919,121,1
920,350,4
921,75,2
922,95,5
923,89,1
924,195,1
925,160,21
926,70,18
927,100,3
928,140,1
929,189,3
930,160,5
931,178,30
932,145,14
933,125,5
934,265,4
935,77,5
936,60,3
937,129,3
938,199,6
939,92,7
940,185,3
941,110,7
942,65,4
943,135,3
944,115,30
945,175,2
946,3000,7
947,72,3
948,80,2
949,125,5
950,120,5
951,94,2
952,56,3
953,549,30
954,190,2
955,129,3
956,85,5
957,20,3
958,145,3
959,200,7
960,125,4
961,50,30
962,160,3
963,180,3
964,100,1
965,70,5
966,120,2
967,110,2
968,105,7
969,250,3
970,74,240
971,165,2
972,99,3
973,125,30
974,75,1
975,45,1
976,159,2
977,45,15
978,104,2
979,225,4
980,100,5
981,90,2
982,75,1
983,350,7
984,135,5
985,125,1
986,225,3
987,85,3
988,200,7
989,250,3
990,90,10
991,130,30
992,90,30
993,298,30
994,300,4
995,125,1
996,125,3
997,145,3
998,147,2
999,123,3
1000,88,3
1001,215,2
1002,225,3
1003,269,28
1004,145,3
1005,75,3
1006,145,5
1007,229,2
1008,300,29
1009,100,3
1010,75,2
1011,225,2
1012,120,6
1013,160,5
1014,125,30
1015,95,5
1016,119,3
1017,275,2
1018,160,1
1019,500,1
1020,175,14
1021,87,6
1022,160,1
1023,125,3
1024,90,2
1025,200,7
1026,250,15
1027,99,30
1028,325,30
1029,99,1
1030,325,2
1031,129,7
1032,130,28
1033,190,4
1034,55,2
1035,60,2
1036,250,1
1037,275,3
1038,50,180
1039,125,4
1040,150,20
1041,70,4
1042,138,3
1043,265,4
1044,145,5
1045,151,88
1046,208,6
1047,200,3
1048,110,2
1049,58,1
1050,55,2
1051,105,115
1052,350,5
1053,150,3
1054,55,150
1055,299,20
1056,77,3
1057,125,9
1058,395,14
1059,189,7
1060,49,1
1061,90,4
1062,100,1
1063,299,2
1064,75,5
1065,69,7
1066,90,1
1067,94,1
1068,80,2
1069,100,5
1070,39,5
1071,250,3
1072,55,7
1073,110,2
1074,200,1
1075,142,3
1076,70,2
1077,260,2
1078,225,4
1079,59,21
1080,65,1
1081,99,20
1082,239,2
1083,50,2
1084,65,4
1085,139,4
1086,174,2
1087,315,3
1088,75,3
1089,210,1
1090,55,4
1091,229,3
1092,150,2
1093,129,2
1094,100,8
1095,200,3
1096,89,5
1097,250,90
1098,65,7
1099,68,2
1100,235,3
1101,100,3
1102,311,3
1103,39,1
1104,100,2
1105,1300,1
1106,210,1
1107,55,4
1108,65,2
1109,165,30
1110,89,28
1111,500,10
1112,145,14
1113,110,4
1114,180,5
1115,115,2
1116,82,15
1117,70,1
1118,155,5
1119,117,7
1120,100,2
1121,89,30
1122,89,30
1123,99,30
1124,155,6
1125,85,1
1126,80,4
1127,135,3
1128,150,6
1129,380,3
1130,450,2
1131,145,30
1132,80,3
1133,225,2
1134,99,3
1135,125,1
1136,80,30
1137,100,2
1138,55,2
1139,328,2
1140,142,7
1141,350,4
1142,300,2
1143,105,30
1144,125,31
1145,225,7
1146,92,2
1147,185,2
1148,226,3
1149,50,2
1150,80,3
1151,200,5
1152,99,14
1153,68,3
1154,102,2
1155,220,3
1156,199,3
1157,165,5
1158,150,2
1159,385,1
1160,75,7
1161,499,2
1162,85,1
1163,160,4
1164,249,3
1165,80,2
1166,120,1
1167,35,7
1168,169,4
1169,220,4
1170,85,3
1171,300,7
1172,79,30
1173,90,4
1174,99,1
1175,50,1
1176,46,1
1177,325,3
1178,68,2
1179,198,3
1180,100,5
1181,175,2
1182,130,4
1183,180,3
1184,209,3
1185,150,4
1186,104,3
1187,175,4
1188,80,1
1189,68,2
1190,72,5
1191,107,30
1192,150,7
1193,45,3
1194,49,2
1195,349,1
1196,185,2
1197,145,3
1198,96,3
1199,120,5
1200,160,1
1201,800,3
1202,349,2
1203,350,2
1204,125,30
1205,350,2
1206,150,10
1207,180,30
1208,200,1
1209,99,30
1210,130,5
1211,150,3
1212,90,10
1213,95,1
1214,70,30
1215,82,3
1216,250,30
1217,90,4
1218,75,2
1219,160,14
1220,115,7
1221,150,4
1222,89,4
1223,69,5
1224,170,2
1225,375,5
1226,118,3
1227,135,6
1228,250,3
1229,200,7
1230,150,5
1231,50,2
1232,60,2
1233,100,2
1234,265,3
1235,90,30
1236,175,2
1237,36,10
1238,250,4
1239,220,3
1240,93,14
1241,275,5
1242,109,30
1243,450,2
1244,165,30
1245,80,7
1246,295,5
1247,280,7
1248,300,30
1249,99,30
1250,175,3
1251,225,4
1252,230,6
1253,90,7
1254,102,3
1255,59,10
1256,195,2
1257,150,3
1258,170,1
1259,217,2
1260,185,1
1261,58,6
1262,189,4
1263,88,30
1264,195,3
1265,110,5
1266,120,14
1267,79,4
1268,110,10
1269,200,3
1270,69,4
1271,55,1
1272,135,4
1273,500,2
1274,90,3
1275,135,3
1276,199,1
1277,90,2
1278,160,4
1279,65,20
1280,210,3
1281,399,3
1282,300,1
1283,185,1
1284,220,3
1285,121,2
1286,120,10
1287,152,2
1288,250,2
1289,99,6
1290,104,11
1291,120,5
1292,295,3
1293,90,4
1294,197,14
1295,145,5
1296,90,30
1297,125,2
1298,190,1
1299,76,2
1300,50,2
1301,107,1
1302,80,4
1303,150,5
1304,110,90
1305,115,370
1306,151,2
1307,130,2
1308,180,2
1309,95,1
1310,79,1
1311,60,30
1312,133,4
1313,120,30
1314,120,2
1315,700,28
1316,165,3
1317,165,4
1318,54,45
1319,100,5
1320,80,7
1321,96,19
1322,159,2
1323,50,2
1324,75,2
1325,155,30
1326,150,2
1327,92,1
1328,75,5
1329,69,40
1330,115,4
1331,120,60
1332,120,2
1333,215,30
1334,195,2
1335,175,3
1336,80,2
1337,48,5
1338,200,7
1339,275,30
1340,72,1
1341,199,60
1342,250,30
1343,75,5
1344,125,1
1345,229,1
1346,175,10
1347,140,3
1348,54,2
1349,75,2
1350,110,7
1351,165,1
1352,55,4
1353,55,4
1354,300,1
1355,275,6
1356,331,7
1357,77,3
1358,60,30
1359,129,1
1360,100,3
1361,120,4
1362,500,2
1363,179,4
1364,149,2
1365,180,14
1366,100,2
1367,180,3
1368,128,5
1369,260,14
1370,55,3
1371,65,3
1372,200,2
1373,249,3
1374,300,30
1375,120,7
1376,120,20
1377,125,5
1378,99,3
1379,115,3
1380,275,31
1381,198,2
1382,199,3
1383,45,3
1384,125,3
1385,80,2
1386,130,30
1387,35,28
1388,90,30
1389,250,3
1390,115,3
1391,200,4
1392,64,30
1393,65,3
1394,175,14
1395,90,2
1396,85,2
1397,150,30
1398,50,30
1399,136,2
1400,400,3
1401,125,4
1402,165,7
1403,180,3
1404,105,14
1405,148,4
1406,120,3
1407,99,8
1408,175,1
1409,85,2
1410,80,1
1411,119,2
1412,89,1
1413,195,2
1414,1000,30
1415,225,4
1416,165,2
1417,60,2
1418,165,5
1419,80,14
1420,52,3
1421,160,4
1422,110,5
1423,60,2
1424,299,3
1425,200,6
1426,700,5
1427,120,3
1428,65,2
1429,263,30
1430,120,20
1431,150,5
1432,60,2
1433,350,2
1434,71,2
1435,433,5
1436,79,3
1437,140,2
1438,61,4
1439,100,3
1440,250,4
1441,145,3
1442,45,4
1443,73,6
1444,150,3
1445,234,20
1446,150,1
1447,65,4
1448,195,1
1449,135,365
1450,90,7
1451,595,5
1452,109,1
1453,200,3
1454,90,30
1455,100,30
1456,85,30
1457,87,30
1458,95,30
1459,349,3
1460,99,3
1461,160,2
1462,149,4
1463,60,3
1464,285,7
1465,72,1
1466,150,16
1467,200,3
1468,79,1
1469,197,1
1470,75,3
1471,127,3
1472,110,1
1473,69,1
1474,100,60
1475,99,3
1476,139,2
1477,113,1
1478,250,2
1479,295,4
1480,2000,30
1481,220,2
1482,75,5
1483,100,31
1484,199,4
1485,200,3
1486,140,4
1487,50,7
1488,45,5
1489,109,31
1490,108,3
1491,42,5
1492,70,3
1493,141,2
1494,355,5
1495,80,3
1496,250,2
1497,75,14
1498,88,2
1499,65,5
1500,58,2
1501,75,3
1502,100,2
1503,167,5
1504,65,2
1505,125,21
1506,95,2
1507,54,2
1508,89,2
1509,92,3
1510,199,6
1511,179,14
1512,65,20
1513,55,3
1514,129,30
1515,134,30
1516,35,3
1517,250,1
1518,249,4
1519,62,1
1520,119,1
1521,179,2
1522,220,1
1523,198,1
1524,155,3
1525,199,7
1526,95,3
1527,550,4
1528,60,2
1529,380,4
1530,84,2
1531,165,30
1532,105,30
1533,134,2
1534,68,5
1535,73,30
1536,150,5
1537,100,3
1538,75,2
1539,120,4
1540,85,4
1541,55,2
1542,95,10
1543,72,14
1544,250,80
1545,69,2
1546,78,4
1547,220,1
1548,230,2
1549,150,4
1550,80,2
1551,150,3
1552,150,3
1553,900,1
1554,130,7
1555,70,5
1556,120,3
1557,75,30
1558,100,15
1559,69,3
1560,399,7
1561,299,3
1562,100,3
1563,68,28
1564,103,3
1565,175,5
1566,330,3
1567,425,5
1568,240,5
1569,75,30
1570,210,2
1571,175,1
1572,85,2
1573,120,3
1574,120,3
1575,75,5
1576,495,3
1577,65,14
1578,39,2
1579,93,4
1580,146,2
1581,120,3
1582,79,3
1583,100,5
1584,120,1
1585,150,5
1586,144,4
1587,60,7
1588,350,1
1589,85,5
1590,195,3
1591,200,2
1592,169,5
1593,95,10
1594,375,2
1595,168,2
1596,50,4
1597,129,2
1598,245,6
1599,199,3
1600,199,3
1601,99,6
1602,160,1
1603,65,2
1604,70,7
1605,80,1
1606,100,30
1607,70,1
1608,200,2
1609,66,3
1610,200,3
1611,95,2
1612,140,1
1613,65,1
1614,106,7
1615,155,181
1616,249,2
1617,120,7
1618,52,5
1619,75,26
1620,195,2
1621,625,4
1622,171,30
1623,185,30
1624,55,7
1625,50,2
1626,120,30
1627,210,14
1628,133,2
1629,73,30
1630,350,1
1631,259,2
1632,97,7
1633,199,7
1634,125,2
1635,100,1
1636,39,5
1637,125,28
1638,150,1
1639,170,7
1640,199,3
1641,80,3
1642,125,3
1643,155,5
1644,120,4
1645,220,3
1646,90,1
1647,61,2
1648,179,4
1649,108,5
1650,575,3
1651,99,1
1652,175,3
1653,110,1
1654,250,10
1655,100,1
1656,200,4
1657,89,3
1658,400,3
1659,149,21
1660,500,10
1661,95,5
1662,125,3
1663,80,4
1664,105,5
1665,39,30
1666,49,2
1667,187,14
1668,55,3
1669,250,3
1670,125,4
1671,100,2
1672,175,7
1673,50,4
1674,133,6
1675,155,5
1676,140,5
1677,80,2
1678,103,2
1679,600,3
1680,70,3
1681,75,3
1682,55,3
1683,50,4
1684,390,3
1685,82,8
1686,52,3
1687,115,2
1688,299,2
1689,175,13
1690,100,90
1691,95,1
1692,55,80
1693,45,2
1694,165,1
1695,105,7
1696,200,3
1697,65,30
1698,100,7
1699,312,2
1700,195,1
1701,100,29
1702,155,3
1703,250,28
1704,165,3
1705,120,3
1706,38,1
1707,200,1
1708,90,10
1709,85,2
1710,55,2
1711,350,2
1712,59,4
1713,280,4
1714,69,1
1715,230,5
1716,200,2
1717,150,5
1718,75,1
1719,120,3
1720,140,30
1721,200,2
1722,225,3
1723,145,7
1724,60,3
1725,119,5
1726,189,2
1727,190,2
1728,69,7
1729,70,1
1730,155,2
1731,149,2
1732,160,1
1733,100,20
1734,220,25
1735,85,2
1736,135,5
1737,45,1
1738,225,1
1739,100,7
1740,145,3
1741,210,1
1742,195,4
1743,95,7
1744,140,2
1745,95,2
1746,295,10
1747,80,3
1748,250,9
1749,60,1
1750,150,2
1751,159,2
1752,225,1
1753,78,1
1754,210,30
1755,60,14
1756,220,6
1757,199,265
1758,225,300
1759,350,6
1760,65,2
1761,225,7
1762,82,3
1763,75,26
1764,60,1
1765,105,14
1766,115,4
1767,150,25
1768,65,5
1769,150,4
1770,101,2
1771,130,3
1772,165,1
1773,175,3
1774,115,3
1775,128,5
1776,116,30
1777,192,2
1778,150,17
1779,163,1
1780,40,8
1781,200,10
1782,158,5
1783,115,2
1784,85,1
1785,173,4
1786,250,4
1787,465,30
1788,275,7
1789,195,3
1790,63,5
1791,36,1
1792,130,5
1793,200,4
1794,85,2
1795,150,14
1796,45,3
1797,45,3
1798,79,5
1799,149,4
1800,200,7
1801,85,1
1802,60,3
1803,139,45
1804,160,30
1805,95,4
1806,80,10
1807,250,5
1808,349,3
1809,165,7
1810,119,5
1811,240,7
1812,79,4
1813,215,3
1814,49,1
1815,190,3
1816,99,2
1817,68,8
1818,185,30
1819,225,4
1820,81,10
1821,199,5
1822,55,2
1823,340,7
1824,135,3
1825,85,2
1826,65,7
1827,100,30
1828,109,1
1829,290,2
1830,35,7
1831,148,5
1832,57,2
1833,150,6
1834,60,2
1835,60,2
1836,45,2
1837,60,2
1838,125,3
1839,60,2
1840,75,2
1841,121,2
1842,89,2
1843,300,30
1844,110,1
1845,99,7
1846,170,7
1847,90,2
1848,179,2
1849,80,4
1850,65,5
1851,69,1
1852,42,1
1853,70,1
1854,155,5
1855,135,1
1856,120,21
1857,135,8
1858,47,1
1859,69,4
1860,100,2
1861,51,3
1862,4000,4
1863,65,180
1864,60,3
1865,70,1
1866,130,3
1867,70,1
1868,200,2
1869,150,3
1870,130,5
1871,68,7
1872,79,1
1873,149,10
1874,120,1
1875,250,4
1876,175,7
1877,40,15
1878,55,11
1879,99,2
1880,500,5
1881,240,7
1882,400,2
1883,280,2
1884,235,3
1885,130,5
1886,96,5
1887,63,2
1888,150,10
1889,200,2
1890,90,7
1891,269,5
1892,80,7
1893,80,2
1894,400,7
1895,349,3
1896,495,2
1897,85,14
1898,85,15
1899,999,10
1900,109,3
1901,175,3
1902,150,4
1903,80,4
1904,150,7
1905,175,1
1906,107,30
1907,80,60
1908,80,3
1909,75,1
1910,800,1
1911,130,1
1912,250,7
1913,260,6
1914,36,1
1915,140,2
1916,145,2
1917,120,3
1918,75,18
1919,60,2
1920,69,30
1921,95,1
1922,300,30
1923,131,2
1924,120,5
1925,100,5
1926,100,4
1927,190,1
1928,160,1
1929,60,2
1930,75,3
1931,45,2
1932,65,2
1933,120,5
1934,80,4
1935,100,7
1936,250,2
1937,235,2
1938,85,2
1939,195,31
1940,145,3
1941,55,30
1942,289,3
1943,120,30
1944,149,5
1945,100,1
1946,166,1
1947,99,3
1948,150,2
1949,44,2
1950,195,2
1951,95,30
1952,100,4
1953,60,5
1954,62,2
1955,99,5
1956,90,15
1957,88,1
1958,125,1
1959,74,1
1960,176,7
1961,62,2
1962,51,1
1963,249,3
1964,200,2
1965,30,2
1966,240,2
1967,100,1
1968,125,2
1969,149,29
1970,170,1
1971,150,2
1972,125,4
1973,68,5
1974,90,7
1975,65,3
1976,50,31
1977,65,3
1978,200,30
1979,65,3
1980,58,10
1981,65,2
1982,185,4
1983,115,4
1984,100,30
1985,200,1
1986,115,2
1987,140,4
1988,62,2
1989,95,3
1990,100,3
1991,113,3
1992,108,30
1993,62,3
1994,95,3
1995,200,4
1996,165,2
1997,60,1
1998,80,2
1999,100,6
2000,110,3
2001,50,3
2002,79,2
2003,140,3
2004,339,4
2005,55,1
2006,81,1
2007,191,3
2008,139,3
2009,500,5
2010,120,2
2011,60,2
2012,70,2
2013,295,2
2014,100,6
2015,49,1
2016,150,3
2017,120,2
2018,2500,30
2019,175,25
2020,107,2
2021,98,3
2022,47,1
2023,100,180
2024,170,5
2025,150,3
2026,63,3
2027,110,3
2028,275,3
2029,329,4
2030,49,1
2031,49,1
2032,165,4
2033,160,5
2034,38,3
2035,170,7
2036,105,2
2037,50,2
2038,100,30
2039,100,3
2040,890,3
2041,160,3
2042,145,2
2043,51,3
2044,150,3
2045,180,3
2046,225,1
2047,250,3
2048,56,1
2049,70,7
2050,70,2
2051,125,2
2052,399,2
2053,157,6
2054,145,7
2055,75,1
2056,280,3
2057,220,4
2058,190,28
2059,200,6
2060,77,1
2061,35,5
2062,30,5
2063,199,29
2064,140,3
2065,124,30
2066,295,7
2067,160,7
2068,349,1
2069,98,2
2070,76,1
2071,230,3
2072,60,3
2073,40,5
2074,118,30
2075,125,20
2076,195,29
2077,85,2
2078,55,14
2079,155,2
2080,99,1
2081,140,30
2082,85,1
2083,75,7
2084,53,5
2085,150,2
2086,179,3
2087,135,1
2088,200,4
2089,200,3
2090,100,5
2091,134,14
2092,100,1
2093,50,20
2094,50,40
2095,400,30
2096,115,2
2097,235,3
2098,125,7
2099,250,2
2100,650,5
2101,97,7
2102,189,2
2103,100,1
2104,49,5
2105,84,3
2106,165,7
2107,87,59
2108,120,6
2109,195,10
2110,89,1
2111,62,2
2112,130,28
2113,75,3
2114,64,2
2115,150,2
2116,100,2
2117,190,3
2118,98,2
2119,150,30
2120,99,3
2121,100,185
2122,159,4
2123,70,1
2124,91,5
2125,325,1
2126,149,4
2127,200,10
2128,169,2
2129,249,3
2130,85,2
2131,81,2
2132,199,2
2133,88,3
2134,170,4
2135,100,1
2136,130,9
2137,135,30
2138,65,30
